0,16,25,26,40,59,64,65,67,78,81,103,164,166,210,211,247,267,287,301,341,348,388,421,426,441,539,559,573,574,Pass/Fail
3030.93,10.0433,0.8955,1.773,61.29,-1.7264,21.7264,29.5367,0.9226,-0.0307,-0.0567,-0.0042,0.048,2,0.0772,0.0599,,0.0472,0.1337,0.6083,2.8551,0.0215,61.5932,6.0544,1.7275,0.8693,2.057,0.4385,0.3157,3.0624,-1
3095.78,9.2599,1.2973,2.0143,78.25,0.8073,19.1927,27.6301,1.1598,-0.044,-0.0377,-0.0045,0.115,2.2,0.0566,0.0488,,0.0411,0.1662,0.8151,2.4278,0.0142,65.0999,6.1491,1.4857,1.2364,1.791,0.1745,0.2653,2.0111,-1
2932.61,9.3144,1.3122,2.0295,14.37,23.8245,16.1755,24.2829,0.8694,0.0213,-0.0182,-0.0026,0.117,2.1,0.0339,0.0494,0.1729,0.0487,0.1479,0.6964,3.7663,0.0105,28.7334,4.0917,1.8268,1.2771,2.1538,0.3718,0.1882,4.0923,1
2988.72,9.6924,1.3137,2.0038,76.9,24.3791,15.6209,23.4736,0.9761,0.04,0.0028,-0.0059,0.108,1.7,0.1248,0.0463,0.0191,0.0513,0.3882,0.6305,3.0229,0.0407,32.4228,6.5718,1.5441,1.1054,2.1565,0.7288,0.1738,2.8971,-1
3032.24,10.3387,1.2887,1.9912,76.39,-12.2945,32.2945,44.1498,0.9256,-0.0449,-0.0123,-0.0045,0.04,3.9,0.0915,0.0506,,0.0488,0.1293,1.35,3.0939,0.0246,57.2692,7.0492,1.2943,0.6672,2.0579,0.2156,0.2224,3.1776,-1
2946.25,9.2441,0.893,1.7775,59.94,28.2955,11.7045,18.3685,0.9227,-0.0074,-0.0111,-0.0052,0.036,1.7,0.0645,0.0391,0.0217,0.0411,0.1614,0.632,3.7242,0.0166,58.2605,6.1687,1.0841,0.7384,1.791,0.29,0.3201,2.2598,-1
3030.27,9.999,0.9063,1.7715,74.46,2.1109,17.8891,26.2754,1.115,-0.0389,-0.0281,-0.0042,0.04,3,0.0604,0.0672,,0.0333,0.1207,0.9513,4.1816,0.0177,39.0975,6.9791,1.9544,0.6667,1.4336,0.4697,0.2027,2.2019,-1
3058.88,9.6836,1.328,1.9893,78.09,29.1309,10.8691,15.3094,0.9965,0.0041,0.0004,-0.0057,0.142,1.9,0.0701,0.0529,0.0643,0.0331,0.3878,0.5831,4.958,0.0216,40.8608,6.7015,1.6483,0.9753,1.4141,0.4232,0.354,92.5866,-1
2967.68,9.7046,0.683,1.323,61.1,26.9791,13.0209,19.9475,0.9079,0.0067,-0.0251,-0.0048,1.766,2.4,0.0418,0.0555,0.0306,0.0331,0.4127,0.7583,2.7826,0.0103,20.5522,6.6164,1.5571,0.5955,1.4141,0.1343,0.3168,2.4902,-1
3016.11,9.7046,0.9002,1.778,78.09,28.3118,11.6882,18.1525,1.0028,0.0065,-0.0375,-0.0073,0.052,2.5,0.0923,0.0526,0.0368,0.0331,0.3714,0.8031,6.2758,0.0317,42.0501,6.6024,1.8549,0.9753,1.4141,0.2005,0.1676,1.0395,-1
2994.05,10.2918,0.455,0.8847,14.37,27.8373,12.1627,16.9061,0.8692,-0.0411,0.0011,-0.0056,1.779,2.2,0.0644,0.0527,0.058,0.0488,0.1211,0.7623,3.27,0.0167,50.0169,6.7545,1.8942,1.2771,2.0579,0.7213,0.2723,3.3618,1
2928.84,10.113,0.9025,1.7695,61.1,25.0836,14.9164,21.6833,0.9241,0.0083,-0.0261,-0.0059,0.047,2.3,0.137,0.0699,0.0458,0.035,0.1335,0.728,3.9784,0.037,13.9769,6.2995,1.725,0.5955,1.5371,0.4385,0.28,2.8659,1
2920.07,9.5007,1.3045,2.0107,76.9,22.6227,17.3773,25.5177,0.9556,-0.0381,-0.0119,-0.0075,0.071,1.7,0.0613,0.0341,0.0317,0.0333,0.1709,0.6797,1.955,0.0156,57.1274,6.7589,1.9245,1.1054,1.4336,0.7288,0.1291,2.6544,-1
3051.44,10.4109,0.898,1.7822,78.11,-1.1927,21.1927,24.2607,0.9458,-0.0498,-0.0646,-0.0047,0.051,3.5,0.1587,0.0189,,0.0263,0.1035,1.0879,1.9278,0.0473,22.5931,4.7269,3.5863,0.8987,1.1299,0.1343,0.2785,3.441,-1
2963.97,9.7825,0.2328,0.439,74.57,17.6382,22.3618,28.1392,1.0144,-0.0549,-0.016,-0.0041,1.756,2.2,0.1363,0.061,0.1785,0.0263,0.2881,0.8617,2.4251,0.0428,48.2171,2.9381,1.4406,0.7015,1.1299,0.1233,0.3692,3.7724,1
2988.31,9.5917,0.4495,0.8882,74.57,20.4209,19.5791,24.8005,0.9025,-0.0538,-0.0144,-0.0031,1.801,2.9,0.1572,0.1127,0.0706,0.0351,0.2181,1.0392,3.6206,0.0449,52.0855,3.0918,1.0833,0.7015,1.5106,0.1139,0.3049,2.8829,-1
3028.02,9.1999,1.2745,2.0055,73.95,-8.1182,28.1182,37.6915,0.8885,-0.0073,-0.0394,-0.0071,0.043,3.1,0.0443,0.0571,,0.0351,0.1247,0.9735,2.049,0.0113,19.6903,2.8749,1.4197,0.6783,1.5106,0.7213,0.2364,2.766,-1
3032.73,9.4147,0.9333,1.7835,74.04,-5.5327,25.5327,34.0855,0.9808,-0.3482,-0.0291,-0.0066,0.028,2.5,0.0545,0.0817,,0.0351,0.1376,0.8833,2.1292,0.0225,38.8554,2.8917,1.3003,0.8227,1.5106,0.1456,0.4839,3.5183,-1
3040.34,9.847,1.333,1.9803,4.138,0.4836,19.5164,26.2174,0.9488,0.0022,-0.0344,-0.0052,0.066,2.6,0.0622,0.0479,,0.0322,0.1433,0.9083,1.8126,0.0185,26.4901,7.0293,1.4616,0.9965,1.393,0.6392,0.3148,2.3022,-1
2988.3,10.1924,1.318,2.0157,76.9,22.4736,17.5264,22.8371,1.1173,0.0025,-0.0111,-0.0016,0.071,1.8,0.156,0.0488,0.0283,0.0322,0.0976,0.5848,7.5898,0.0429,53.7607,6.1736,1.5012,1.1054,1.393,0.7055,0.2811,2.2358,-1
2987.32,9.7659,1.304,1.97,1.434,3.97,16.03,22.4489,0.8482,0.0028,-0.0458,-0.0051,0.082,1.5,0.0955,0.0393,,0.0322,0.1466,0.522,3.0877,0.0268,13.882,2.6716,1.7554,1.1404,1.393,0.8523,0.3007,2.4529,-1
,10.3503,1.31,2.0095,4.198,0.12,19.88,27.2876,0.8824,-0.0275,-0.0309,-0.0092,0.011,2.2,0.0954,0.0658,,0.0322,0.1078,0.7874,2.9003,0.0241,17.255,6.2033,1.7251,0.9965,1.393,0.4697,0.206,2.8482,-1
3002.27,10.3647,1.3122,1.9715,5.988,-3.6564,23.6564,31.9128,0.9885,-0.0256,-0.039,-0.0072,0.091,2.6,0.1077,0.0536,,0.0326,0.0829,0.7248,2.2724,0.0315,18.3722,4.6887,1.4638,0.9965,1.4119,0.6392,0.2964,2.6843,-1
2884.74,8.8407,0.4425,0.8915,74.57,18.3936,21.6064,29.3176,0.9004,-0.0613,-0.0162,-0.0108,1.802,3.4,0.1312,0.0373,0.2587,0.0395,0.5969,1.021,1.9061,0.0386,33.175,6.693,1.5379,0.7015,1.7238,0.1567,0.1682,3.1106,1
3010.41,9.5066,0.443,0.8862,14.41,15.3536,24.6464,33.5962,0.9295,-0.0811,-0.0101,-0.0076,1.776,1.4,0.1883,0.0542,0.0225,0.0745,0.1881,0.4816,1.987,0.0502,38.7773,3.9273,0.3813,1.0459,3.1938,0.1407,0.4183,2.6206,-1
2979.74,9.747,0.4515,0.8895,76.33,2.9964,17.0036,24.7224,1.0265,-0.0338,-0.0219,-0.0071,1.804,1.5,0.0403,0.0417,,0.0236,0.1019,0.522,2.7998,0.0125,20.1218,3.8227,2.24,1.0891,1.0297,0.4962,0.2794,2.9887,-1
3067.35,9.8198,1.2977,2.0137,78.25,-6.9155,26.9155,34.5361,0.9592,-0.0241,-0.0387,-0.0062,0.115,2.7,0.0488,0.1774,,0.0236,0.1158,0.9233,1.0309,0.0131,38.2373,3.5066,2.2223,1.2364,1.0297,0.1456,0.4222,1.7463,-1
2988.99,10.215,1.3125,2.0017,76.69,17.3873,22.6127,27.4102,1.2603,-0.0809,-0.0076,-0.0078,0.112,3.8,0.1627,0.1215,0.0332,0.0381,1.2112,1.2554,2.4997,0.0461,56.2493,3.2991,1.2655,1.0644,1.6664,0.2005,0.238,3.3671,-1
2972.78,9.7745,0.8902,1.802,76.67,13.1136,26.8864,37.2145,0.8801,-0.063,0.0061,-0.0087,0.062,1.6,0.1782,0.0582,0.0597,0.0236,0.1208,0.6042,2.3546,0.0539,34.3875,3.7435,2.2383,0.9836,1.0297,0.1343,0.4414,2.5665,-1
2981.85,8.6625,1.2905,1.9817,14.14,14.7073,25.2927,31.4769,0.9518,-0.0198,-0.0399,-0.0112,0.084,4.9,0.1696,0.0797,0.0635,0.0545,0.3014,1.4195,2.9321,0.0487,57.3702,3.6312,1.7651,0.4996,2.3284,0.3638,0.4072,3.1722,-1
2975.88,9.8631,1.292,1.9888,65.83,29.5109,10.4891,16.8198,0.9794,-0.0406,-0.0203,-0.0098,0.091,1.8,0.1818,0.083,0.0292,0.0381,0.1221,0.5855,1.6795,0.056,37.915,3.7902,1.9758,0.5279,1.6664,0.3106,0.2625,2.6984,-1
3058.61,9.75,1.2717,1.9773,14.26,13.1482,26.8518,33.6192,0.9459,-0.0204,-0.0106,-0.0093,0.079,4.1,0.1694,0.0366,0.1551,0.0236,0.1336,1.261,2.1644,0.0463,56.4297,3.7884,2.2207,0.662,1.0297,0.7074,0.219,2.9829,-1
3047.19,9.7447,1.2803,1.9745,73.95,-3.3864,23.3864,30.6289,0.9684,-0.0037,-0.0199,-0.0087,0.124,3.4,0.1038,0.0438,,0.075,0.4608,1.0404,2.6986,0.0311,53.442,3.8051,1.205,0.6783,3.2023,0.1745,0.2539,3.5623,-1
2981.31,9.672,0.446,0.8912,,4.4036,15.5964,21.199,0.9985,-0.0135,-0.0403,-0.0084,1.799,2.2,0.0851,0.0453,,0.075,0.9118,0.7618,2.1024,0.027,32.571,3.6357,1.2699,0.6302,3.2023,0.1139,0.2879,4.1245,-1
2963.83,9.6398,0.904,1.7778,76.69,17.5473,22.4527,32.0705,0.8726,-0.0429,-0.01,-0.0093,0.036,2.5,0.1412,0.0888,0.0974,0.0545,0.4032,0.7865,1.9537,0.0433,34.1994,3.7838,1.668,1.0644,2.3284,0.2605,0.3806,2.5269,-1
